image_url,scientific_name,genus,specific_epithet,year,habitat,county
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01002/1002279.jpg,Sagittaria cuneata,Sagittaria,cuneata,1892,shallow water,Otter Tail
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01000/1000075.jpg,Agropyron violaceum f. caninoides,Agropyron,violaceum,1890,,Crow Wing
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01000/1000126.jpg,Amelanchier humilis var. campestris,Amelanchier,humilis,1935,,Lincoln
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01001/1001728.jpg,Lycopodium x buttersii,Lycopodium,x buttersii,1938,Cliff ... growing with L. selago var. patens.,Cook
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01002/1002077.jpg,Poa scopulorum,Poa,scopulorum,1936,slate and diabase cliffs,Cook
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01000/1000157.jpg,Anemone quinquefolia f. rubra,Anemone,quinquefolia,1940,woods,Otter Tail
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01000/1000712.jpg,Cornus canadensis f. florulenta,Cornus,canadensis,1947,In lichen mats on flat outcrops along railroad,Saint Louis
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01286/1286421.jpg,Liatris herrickii,Liatris,herrickii,1878,,Hennepin
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01000/1000142.jpg,Amorpha fruticosa f. albiflora,Amorpha,fruticosa,1892,,Mille Lacs
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01000/1000128.jpg,Amelanchier humilis var. exserrata,Amelanchier,humilis,1935,Quarries,Pipestone
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01000/1000545.jpg,Carex aenea f. flumini-regalis,Carex,aenea,1938,east-facing cliff,Cook
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01002/1002552.jpg,Stachys brevidens,Stachys,brevidens,1891,,Saint Louis
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01002/1002450.jpg,Sisyrinchium campestre f. albiflorum,Sisyrinchium,campestre,1941,prairie,Mower
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01000/1000472.jpg,Bromus inermis f. bulbiferous,Bromus,inermis,1938,,Ramsey
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01002/1002230.jpg,Rubus idaeus f. niveus,Rubus,idaeus,1939,low hill,Koochiching
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01000/1000317.jpg,Aster longifolius f. pallens,Aster,longifolius,1939,Growing in peat soil,Roseau
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01002/1002226.jpg,Rubus frondosus,Rubus,frondosus,1926,Sandy - gravelly soil,Ramsey
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01000/1000127.jpg,Amelanchier humilis var. compacta,Amelanchier,humilis,,Edge of oak woods.,Anoka
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01000/1000338.jpg,Astragalus chandonnettii,Astragalus,chandonnettii,1911,,Becker
